DATE,personal_income
01/01/1969,5926
01/01/1970,6524
01/01/1971,6963
01/01/1972,7546
01/01/1973,8022
01/01/1974,8755
01/01/1975,9734
01/01/1976,10466
01/01/1977,11489
01/01/1978,12639
01/01/1979,13913
01/01/1980,15212
01/01/1981,16998
01/01/1982,17912
01/01/1983,19233
01/01/1984,20888
01/01/1985,21673
01/01/1986,22820
01/01/1987,23754
01/01/1988,26623
01/01/1989,27865
01/01/1990,29320
01/01/1991,31017
01/01/1992,32065
01/01/1993,32679
01/01/1994,33494
01/01/1995,36263
01/01/1996,38552
01/01/1997,40325
01/01/1998,45300
01/01/1999,49438
01/01/2000,57037
01/01/2001,56878
01/01/2002,55309
01/01/2003,55785
01/01/2004,59593
01/01/2005,65428
01/01/2006,72346
01/01/2007,75307
01/01/2008,75250
01/01/2009,71646
01/01/2010,75691
01/01/2011,80154
01/01/2012,87665
01/01/2013,88675
01/01/2014,97887
01/01/2015,105711
01/01/2016,112804
01/01/2017,119208
01/01/2018,128812
01/01/2019,130464
01/01/2020,141134
01/01/2021,160749
