DATE,poverty_rate
01/01/1989,13
01/01/1990,.
01/01/1991,.
01/01/1992,.
01/01/1993,13.5
01/01/1994,.
01/01/1995,12.3
01/01/1996,.
01/01/1997,12.6
01/01/1998,11.7
01/01/1999,9.9
01/01/2000,9.2
01/01/2001,9.8
01/01/2002,10.7
01/01/2003,12
01/01/2004,11.6
01/01/2005,12.2
01/01/2006,12.1
01/01/2007,10.6
01/01/2008,11.2
01/01/2009,11.7
01/01/2010,12.8
01/01/2011,13.8
01/01/2012,14.9
01/01/2013,13.8
01/01/2014,12.1
01/01/2015,12.4
01/01/2016,10.2
01/01/2017,10.1
01/01/2018,10.1
01/01/2019,9.5
01/01/2020,10
